"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
12068,0,"54.542821008333, 18.547131646667",5,
12069,5,"54.543995571667, 18.453092893333",15,"98585,98242,98151,600215,600124"
12071,0,"54.528954118333, 18.503712728333",15,
12072,0,"54.49809221, 18.510333921667",9,
12073,0,"54.528259411667, 18.457494943333",5,
12075,0,"54.559120786667, 18.54889192",7,
12076,2,"54.577878436667, 18.538757365",10,"98751,98144"
12077,2,"54.546312985, 18.501584853333",10,"98557,98400"
12078,0,"54.58336569, 18.53873307",5,
12079,3,"54.559047256667, 18.48459083",5,"98531,98128,600067"
12080,1,"54.49698377, 18.537852351667",10,98273
12081,0,"54.518913578333, 18.51975433",5,
12082,0,"54.495312323333, 18.538430916667",6,
12083,1,"54.513388071667, 18.543932686667",10,98089
12084,0,"54.51954213, 18.527448091667",5,
12085,0,"54.51607692, 18.52517523",5,
12086,1,"54.500708493333, 18.4573807",10,98195
12087,1,"54.545926653333, 18.449115318333",5,99145
12088,2,"54.46700315, 18.463641876667",7,"98517,99202"
12089,0,"54.534111605, 18.44570279",9,
12090,1,"54.472231396667, 18.462249093333",10,98555
12092,1,"54.562937448333, 18.497028206667",5,98763
12093,4,"54.555914326667, 18.520191908333",6,"99124,99068,98866,98828"
12094,4,"54.48666374, 18.528705933333",10,"98669,98658,98876,600336"
12095,0,"54.531540093333, 18.482722873333",6,
12096,0,"54.470580725, 18.468034576667",10,
12097,3,"54.54159417, 18.460883983333",10,"98311,98244,600216"
12098,0,"54.52686253, 18.490524371667",5,
12099,1,"54.463677221667, 18.456462361667",5,98346
12100,0,"54.544786705, 18.439165253333",5,
12101,0,"54.498204088333, 18.497190371667",6,
12102,0,"54.529920645, 18.499922486667",5,
12103,0,"54.469885793333, 18.518507895",5,
12104,0,"54.546497623333, 18.46342374",9,
12105,0,"54.468648503333, 18.50954285",9,
12106,1,"54.554682528333, 18.492611888333",5,600079
12107,0,"54.500054191667, 18.471601028333",4,
12108,0,"54.499952313333, 18.514087388333",6,
12109,0,"54.537397985, 18.439578495",7,
